shot_id,A_ay_dev,A_ay_int,B_jerk,C_yaw_e,D_ratio,F_gx_pk,n_ay_dev,n_jerk,n_yaw_e,n_gx_pk,E_shape,hold,hold_class,alzo_fw
1,17.745715909090908,0.37322753357265126,535.4125000003021,0.10746164239997012,0.4840294336145555,102.093075,0.5338159090909094,33.44973808932934,0.010633557718181638,2.5305750000000007,2.9363159721509047,1.6432,0,3.8267
2,12.426311363636364,0.19802397077722725,564.0935378437435,0.07347349035680441,0.4552419950767115,77.88142500000001,0.5127113636363635,19.09535146655442,0.012781816893179074,2.5248749999999998,2.604061704499243,-0.993,0,0.4141
3,13.759195454545454,0.37743353546370617,279.78457666270197,0.23714685904316002,0.36951722154458244,185.08663636363636,0.13910454545454543,11.480000000010431,0.012225934395460544,1.8508636363636368,2.234299782957604,-2.9345,0,1.2337
4,11.088438636363636,0.1586709906476615,470.4888622555784,0.0866943933135931,0.38174270255179865,107.15167045454545,0.6287613636363636,28.732183045810253,0.060947206509073815,2.510970454545455,3.92771985672216,-3.7219,0,-0.3446
5,10.785934090909091,0.173162559476976,423.39543000521047,0.349116106449752,0.3009792870946218,107.47652727272728,0.27063409090909085,41.9419419416355,0.07700742959999145,1.0546727272727279,3.618183578456309,-4.4765,1,15.3931
6,17.300811363636363,0.4805309626475281,513.5499999975481,0.18554420998402926,0.4644574327520119,55.05084318181818,0.3618113636363637,27.552552552743165,0.03764511809316693,3.4335568181818177,5.25607534238277,-3.4608,0,-0.1939
7,13.321152272727273,0.2886797037798958,355.1706827306875,0.0939720371956105,0.41026430178472073,216.36253636363637,0.5388477272727272,20.37546933650902,0.025472941995456733,3.965563636363637,0.2272051976097991,-5.9106,1,-0.7814
9,29.788272727272727,0.6351423040142219,846.9390308767013,0.2829300121252685,1.040854452909437,159.21942272727273,0.38102727272727266,12.762578035443866,0.025519420225058057,2.313222727272727,10.995729239716788,-5.6258,1,4.789
10,14.393436363636365,0.4669876679092007,229.6259101209802,0.4266158567171543,0.37240099368681817,205.88774090909092,0.19926363636363642,14.374999999931388,0.03487681420451952,2.16904090909091,5.836713616997978,-7.0366,1,5.1845
11,9.662747727272727,0.14837263548892232,511.29629331041906,0.13456631528662436,0.2546269163006517,146.72901590909092,0.14865227272727266,13.778444611078292,0.07451422217292505,3.0884159090909087,4.341004742097763,0.1724,0,18.846
12,23.529286363636366,0.6318838362016947,708.808684748526,0.1086015987502891,0.625161326670589,158.12605,0.1302136363636366,22.500000000020474,0.015801548706777253,0.7801499999999999,9.555359960280088,-8.8638,2,4.4233
13,25.696875,0.6922431945491917,843.1584085624544,0.10431031917954132,0.7122025950053836,44.60900909090909,0.194025,17.374999999917065,0.006702103193163405,2.296509090909091,11.330941300263827,-0.774,0,19.3521
14,14.746481818181817,0.36085802361346186,298.65682077315773,0.32282876498155344,0.3476150223946413,167.16549545454544,0.8350181818181819,63.44999999969704,0.08390698716380265,2.2564045454545454,1.715592873209218,2.1442,0,5.3033
15,10.486638636363637,0.21801290203820692,278.8517141937508,0.19963493043129135,0.2641702375088083,122.76670227272727,0.27046136363636375,10.756176690787294,0.0746412155589643,1.1417022727272732,2.3575213284564196,-2.0696,0,20.4041
16,11.912770454545454,0.2084009660064251,567.3847695496509,0.4696001466664482,0.358223032667914,76.13744318181817,0.18752954545454548,12.663159789067493,0.09271559750898514,2.403043181818182,2.405368398892792,-3.4616,0,20.7403
17,8.204993181818182,0.2321680639838399,258.14844086134684,0.25930725177503516,0.21870705987848305,71.91544545454546,0.375893181818182,31.709398847866808,0.05734362394309345,1.009245454545455,2.4749276756880785,0.1983,0,20.6011
18,13.162,0.42506396930089907,341.5424038334394,0.1435635093782313,0.38242668275453295,97.79687045454546,0.05399999999999994,7.7847309135802405,0.09626895786421028,2.4375295454545456,3.761697467328594,-9.2171,2,14.568
19,18.022813636363637,0.57183734345662,419.0791785448225,0.6329448185197288,0.5305577024566376,120.816425,0.2914136363636364,14.405640179934991,0.04503038238176787,1.3164250000000006,7.542765602398461,-11.9143,2,14.5246
20,15.603813636363636,0.4152343851444672,280.8965209073889,0.2975208884600761,0.4424133886524214,169.70913181818182,1.8882863636363636,117.61533852658548,0.0939137650092136,29.603368181818183,3.2361221819155737,-4.3693,1,10.8496
21,7.791593181818182,0.11695323657065666,359.1170868690713,0.11627739733667515,0.19527992668417996,135.37496363636365,0.1547068181818182,25.724275723487498,0.04479065102279764,1.3437363636363626,6.469015841719442,-0.519,0,23.6573
22,10.077022727272727,0.2154109084586211,303.16561844814703,0.29623157726036364,0.23421199521612507,161.33128636363637,0.0551772727272728,5.323888888843413,0.006559249884059553,0.4499136363636369,2.5496112925254595,-9.6761,2,12.7795
23,9.912638636363637,0.30697693803507964,322.75738617136943,0.6067286765909224,0.25920722506188293,33.077020454545455,0.4350613636363637,26.301993146522378,0.09284971462739602,4.594879545454545,2.268233801745192,-1.3284,0,22.2268
24,6.878568181818182,0.09267624300902041,308.5542849140188,0.13547358665063777,0.19713808882935188,78.75885000000001,2.791668181818182,407.57242757382596,0.10401839920048553,66.78805,7.61396244221861,0.9547,0,20.57
25,11.57924090909091,0.27218816157679876,378.76840141088576,0.08271185882724946,0.29393407384360437,101.60547954545454,0.3031590909090909,13.958283284576936,0.07068972612307797,1.2226204545454546,1.720355328475066,-8.847,2,12.7716
26,5.761613636363637,0.15579187592728522,108.039757254307,0.09198736778654695,0.14946632519466038,109.84625227272727,2.5989863636363637,289.2230576491365,0.024849049638656737,41.747547727272725,5.268009829332381,4.9691,1,12.3794
28,8.416825,0.272742402774816,164.84727090963835,0.08969352502502917,0.20654152865034972,98.56530454545455,0.781725,37.13428357069191,0.07851766205017532,2.127804545454546,2.963328162399073,-6.1775,1,14.1202
29,15.814981818181819,0.37077277786314944,358.40952581443617,0.20365343110371575,0.3971004885780835,222.251075,0.11361818181818151,5.575938063365953,0.28737939261861645,2.139525,2.3674490479440764,-0.563,0,16.1469
30,19.507949999999997,0.39772827124867344,522.8254466014678,0.053626119226863826,0.5657208851729685,185.65380227272726,0.2825500000000001,15.07436349934049,0.07382013857697646,0.8256022727272727,3.800679708745726,-6.4458,1,17.1634
31,16.412577272727273,0.21703685986059057,717.4078780283189,0.23321775326903815,0.37361242426837055,148.77664772727272,0.6634772727272726,30.221572980527682,0.16999247459113387,2.942152272727273,4.31127497701106,-2.4748,0,13.3006
32,13.158672727272727,0.23642320926362886,459.3930273328687,0.36961357795007477,0.3625251310219357,111.95915227272727,0.23692727272727276,20.324594257145673,0.07830305263131904,1.4002477272727267,1.5795901861057267,-3.636,0,16.9206
33,18.79714318181818,0.5760479739895701,677.1192798162937,0.2810931802771214,0.5024673364819267,100.09487727272727,1.0651568181818183,54.64584134687658,0.0416918837457807,6.5302227272727285,8.016252486905183,-16.3264,2,12.8624
34,10.53586818181818,0.33754188997811824,219.76715946442187,0.19620688580051376,0.3127462292439166,134.60300454545455,1.444631818181818,49.0137328338783,0.07613682770007499,7.662695454545455,2.202681709613095,-35.7948,2,16.892
35,5.954647727272727,0.04858138295670406,449.1793526469852,0.4524158253278575,0.16207869156490784,61.35513181818181,0.4814477272727271,29.65955977010681,0.1234871327455822,2.1832318181818184,7.232351636656196,-2.466,0,13.8579
36,4.071220454545455,0.12852331260669708,129.66039441732707,0.22849577258177345,0.11517458236333131,118.46447045454545,0.2811204545454544,8.725062336629321,0.08602132009535363,1.4261295454545446,5.4341343983080135,-5.5639,1,19.6459
37,16.52037272727273,0.25831040303795,631.2062062001445,0.2099010523182182,0.5027319804203979,102.5554409090909,0.34202727272727274,15.932925692573882,0.011545924431805594,1.1789590909090908,3.1527864238840193,-3.4939,0,13.0193
38,22.339386363636365,0.5156834529797875,572.3145441398617,0.17389809996281855,0.6611763984161358,46.24431136363636,0.18588636363636368,20.970970971414335,0.05671547329097233,3.806811363636364,6.664732391841948,-1.3222,0,13.6178
39,15.819813636363635,0.19933273210368058,934.2899002184131,0.22931103620066262,0.4851583687005878,178.77667499999998,0.5205863636363635,8.844997562096836,0.13786192044991535,0.6296249999999999,6.588643548819987,-3.673,0,1.2213
40,13.70674090909091,0.2040071539378334,556.8578433315486,0.12663546805493556,0.41447926994057877,65.79546818181818,0.44775909090909094,23.338330833837773,0.04536555260670856,4.017031818181818,2.944389148855738,-3.5288,0,0.4644
41,10.983113636363637,0.24809058796210143,269.194613674468,0.4053134620770652,0.26915796299748457,154.1040909090909,0.23848636363636344,18.745815477979235,0.05726214554346889,1.729090909090909,1.5672272039130137,-3.6962,0,2.4215
42,17.622645454545452,0.3183288270197891,567.9041824944734,0.35955884691483564,0.47577368652504365,70.10122272727273,0.18574545454545455,14.308297506267422,0.14023543090556467,0.6487772727272727,2.9808594642428745,-3.8252,0,1.5357
43,20.476804545454545,0.41637868318062543,670.8242269313844,0.09382195086333978,0.5363621681123674,140.46872954545455,0.27369545454545463,7.093422567129181,0.033578028745603235,1.4843295454545453,4.830331370175169,-4.2176,1,7.0557
